Econòmic,Orgànic,Subprograma,Text subprograma,PREV. INICIAL,PREV.DEFINITIVA,LIQUIDAT,Any
34900,604,93219,Serveis d’ingressos,28175,28175,44164.24,2015
34900,605,93219,Serveis d’ingressos,17250,17250,8586.14,2015
34900,606,93219,Serveis d’ingressos,10,10,0,2015
34900,607,93219,Serveis d’ingressos,8625,8625,2676.05,2015
34900,608,93219,Serveis d’ingressos,33062.5,33062.5,21010.47,2015
34900,609,93219,Serveis d’ingressos,65154.02,65154.02,34721.41,2015
34900,610,93219,Serveis d’ingressos,24150,24150,14502.11,2015
34901,201,93219,Serveis d’ingressos,28800,28800,29904.11,2015
34902,201,93219,Serveis d’ingressos,10,10,4570.89,2015
34908,601,93219,Serveis d’ingressos,10,10,0,2015
34908,602,93219,Serveis d’ingressos,10,10,0,2015
34908,603,93219,Serveis d’ingressos,10,10,0,2015
34908,604,93219,Serveis d’ingressos,10,10,0,2015
34908,605,93219,Serveis d’ingressos,10,10,0,2015
34908,606,93219,Serveis d’ingressos,10,10,0,2015
34908,607,93219,Serveis d’ingressos,10,10,0,2015
34908,608,93219,Serveis d’ingressos,10,10,0,2015
34908,609,93219,Serveis d’ingressos,10,10,0,2015
34908,610,93219,Serveis d’ingressos,10,10,0,2015
34908,702,93219,Serveis d’ingressos,0,0,37190.08,2015
34908,703,44121,Servei del Bicing,597207.34,597207.34,0,2015
34910,401,93219,Serveis d’ingressos,10,10,0,2015
34911,401,93219,Serveis d’ingressos,2000,2000,46889.26,2015
34912,401,93219,Serveis d’ingressos,10,10,0,2015
34913,401,93219,Serveis d’ingressos,10,10,0,2015
34914,401,93219,Serveis d’ingressos,0,0,2893.18,2015
34920,502,93219,Serveis d’ingressos,17635000,17635000,12441662.32,2015
34921,502,93219,Serveis d’ingressos,6259000,6259000,5916055.48,2015
34930,101,93219,Serveis d’ingressos,10,10,0,2015
34932,703,93219,Serveis d’ingressos,1000000,1000000,0,2015
35100,401,93219,Serveis d’ingressos,10,10,0,2015
36000,101,93219,Serveis d’ingressos,64970,64970,98377.73,2015
36000,201,93219,Serveis d’ingressos,10,10,0,2015
36000,501,93219,Serveis d’ingressos,10,10,0,2015
36000,601,93219,Serveis d’ingressos,10,10,0,2015
36000,602,93219,Serveis d’ingressos,10,10,0,2015
36000,603,93219,Serveis d’ingressos,10,10,0,2015
36000,604,93219,Serveis d’ingressos,10,10,0,2015
36000,605,93219,Serveis d’ingressos,10,10,0,2015
36000,606,93219,Serveis d’ingressos,10,10,0,2015
36000,607,93219,Serveis d’ingressos,10,10,1025.97,2015
36000,608,93219,Serveis d’ingressos,10,10,0,2015
36000,609,93219,Serveis d’ingressos,10,10,0,2015
36000,610,93219,Serveis d’ingressos,10,10,0,2015
36000,801,93219,Serveis d’ingressos,10,10,0,2015
36001,101,93219,Serveis d’ingressos,6000,6000,35813.48,2015
36002,101,93219,Serveis d’ingressos,52980,52980,41823.01,2015
36002,501,93219,Serveis d’ingressos,10,10,0,2015
36002,502,93219,Serveis d’ingressos,10,10,0,2015
36002,601,93219,Serveis d’ingressos,10,10,0,2015
36002,602,93219,Serveis d’ingressos,10,10,0,2015
36002,603,93219,Serveis d’ingressos,10,10,0,2015
36002,604,93219,Serveis d’ingressos,10,10,0,2015
36002,605,93219,Serveis d’ingressos,10,10,0,2015
36002,606,93219,Serveis d’ingressos,10,10,0,2015
36002,607,93219,Serveis d’ingressos,10,10,0,2015
36002,608,93219,Serveis d’ingressos,10,10,0,2015
36002,609,93219,Serveis d’ingressos,10,10,0,2015
36002,610,93219,Serveis d’ingressos,10,10,0,2015
36003,703,93219,Serveis d’ingressos,10,10,0,2015
36100,101,93219,Serveis d’ingressos,225000,225000,0,2015
36200,101,93219,Serveis d’ingressos,10,10,13584.36,2015
36300,101,93219,Serveis d’ingressos,10,10,0,2015
36300,502,93219,Serveis d’ingressos,10,10,0,2015
36300,601,93219,Serveis d’ingressos,10,10,0,2015
36300,602,93219,Serveis d’ingressos,10,10,0,2015
36300,603,93219,Serveis d’ingressos,10,10,0,2015
36300,604,93219,Serveis d’ingressos,10,10,0,2015
36300,605,93219,Serveis d’ingressos,10,10,0,2015
36300,606,93219,Serveis d’ingressos,10,10,0,2015
36300,607,93219,Serveis d’ingressos,10,10,0,2015
36300,608,93219,Serveis d’ingressos,10,10,0,2015
36300,609,93219,Serveis d’ingressos,10,10,0,2015
36300,610,93219,Serveis d’ingressos,10,10,0,2015
36401,101,93219,Serveis d’ingressos,41000,41000,26258.39,2015
36500,502,93219,Serveis d’ingressos,6100000,6100000,7684142.93,2015
38901,703,93219,Serveis d’ingressos,10,10,0,2015
38902,703,93219,Serveis d’ingressos,10,10,0,2015
38903,101,93219,Serveis d’ingressos,201291.55,201291.55,786154.84,2015
38903,201,93219,Serveis d’ingressos,8.64,8.64,75847.66,2015
38903,401,93219,Serveis d’ingressos,0,0,2624.79,2015
38903,501,93219,Serveis d’ingressos,4319.56,4319.56,797.15,2015
38903,502,93219,Serveis d’ingressos,4319.56,4319.56,1360.08,2015
38903,601,93219,Serveis d’ingressos,8639.12,8639.12,7677.13,2015
38903,602,93219,Serveis d’ingressos,4319.56,4319.56,5054.24,2015
38903,603,93219,Serveis d’ingressos,4319.56,4319.56,1062.22,2015
38903,604,93219,Serveis d’ingressos,4319.56,4319.56,731.3,2015
38903,605,93219,Serveis d’ingressos,4319.56,4319.56,3517.96,2015
38903,606,93219,Serveis d’ingressos,4319.56,4319.56,5225,2015
38903,607,93219,Serveis d’ingressos,4319.56,4319.56,44641.19,2015
38903,608,93219,Serveis d’ingressos,4319.56,4319.56,1756.4,2015
38903,609,93219,Serveis d’ingressos,4319.56,4319.56,26613.25,2015
38903,610,93219,Serveis d’ingressos,4319.56,4319.56,11039.8,2015
38903,702,93219,Serveis d’ingressos,86391.22,86391.22,0,2015
38903,703,93219,Serveis d’ingressos,56154.29,56154.29,2827.11,2015
38904,703,93219,Serveis d’ingressos,10,10,0,2015
38905,703,93219,Serveis d’ingressos,10,10,0,2015
38906,201,93219,Serveis d’ingressos,10,10,0,2015
38906,601,93219,Serveis d’ingressos,10,10,0,2015
38906,602,93219,Serveis d’ingressos,109250,109250,12118.73,2015
38906,603,93219,Serveis d’ingressos,2300,2300,0,2015
38906,604,93219,Serveis d’ingressos,10,10,0,2015
38906,605,93219,Serveis d’ingressos,34500,34500,27124.49,2015
38906,606,93219,Serveis d’ingressos,10,10,0,2015
38906,607,93219,Serveis d’ingressos,10,10,0,2015
38906,608,93219,Serveis d’ingressos,10,10,0,2015
38906,609,93219,Serveis d’ingressos,24024,24024,0,2015
38906,610,93219,Serveis d’ingressos,10,10,0,2015
38908,101,93219,Serveis d’ingressos,10,10,4426.66,2015
38908,702,93219,Serveis d’ingressos,10,10,0,2015
38909,703,93219,Serveis d’ingressos,300000,300000,313278.71,2015
38910,101,93219,Serveis d’ingressos,10,10,0,2015
38910,201,93219,Serveis d’ingressos,10,10,0,2015
38910,601,93219,Serveis d’ingressos,10,10,6000,2015
38910,602,93219,Serveis d’ingressos,10,10,0,2015
38910,603,93219,Serveis d’ingressos,10,10,0,2015
38910,604,93219,Serveis d’ingressos,10,10,0,2015
38910,605,93219,Serveis d’ingressos,10,10,0,2015
38910,606,93219,Serveis d’ingressos,10,10,0,2015
38910,607,93219,Serveis d’ingressos,10,10,0,2015
38910,608,93219,Serveis d’ingressos,10,10,0,2015
38910,609,93219,Serveis d’ingressos,10,10,0,2015
38910,610,93219,Serveis d’ingressos,10,10,0,2015
39100,604,93219,Serveis d’ingressos,0,0,600,2015
